Wall time,Step,Value
1560546147.9321537,0,0.5353423357009888
1560546150.7567437,1,0.4077778458595276
1560546153.0277874,2,0.35442766547203064
1560546155.3094614,3,0.31651434302330017
1560546157.5819116,4,0.306178480386734
1560546159.8729587,5,0.29576295614242554
1560546162.1554253,6,0.2969500720500946
1560546164.4406025,7,0.26939329504966736
1560546166.7299592,8,0.25569215416908264
1560546169.0226765,9,0.26054614782333374
1560546171.321617,10,0.24628587067127228
1560546173.8905559,11,0.2512247562408447
1560546176.192407,12,0.22418327629566193
1560546178.511316,13,0.22296471893787384
1560546180.8180387,14,0.22092017531394958
1560546183.1365113,15,0.22159263491630554
1560546185.4521425,16,0.21538680791854858
1560546187.7679284,17,0.21064460277557373
1560546190.0913587,18,0.21063554286956787
1560546192.4214969,19,0.20556551218032837
1560546194.750908,20,0.2050628960132599
1560546197.0845754,21,0.20089666545391083
