Wall time,Step,Value
1560039895.109284,0,8.434783935546875
1560039896.7864475,1,7.443007946014404
1560039898.4301524,2,6.591394424438477
1560039900.0749571,3,5.855419158935547
1560039901.714815,4,5.213025093078613
1560039903.3558679,5,4.653390884399414
1560039904.9925957,6,4.165946960449219
1560039906.652383,7,3.7431130409240723
1560039908.2864327,8,3.3760340213775635
1560039909.8944023,9,3.0574684143066406
1560039911.530057,10,2.780083179473877
1560039913.1344352,11,2.5375335216522217
1560039914.7674904,12,2.3270349502563477
1560039916.399621,13,2.1405177116394043
1560039918.0079823,14,1.9792630672454834
1560039919.6350927,15,1.8355151414871216
1560039921.2693179,16,1.7116146087646484
1560039922.9214704,17,1.5988049507141113
1560039924.5691931,18,1.5014371871948242
1560039926.223527,19,1.4128172397613525
1560039927.854802,20,1.3373583555221558
1560039929.4787953,21,1.2668968439102173
1560039931.1179655,22,1.2049111127853394
1560039932.7658885,23,1.149894118309021
1560039934.4046738,24,1.1007041931152344
1560039936.0440607,25,1.0558750629425049
1560039937.6703784,26,1.0150470733642578
1560039939.295771,27,0.9788081049919128
1560039940.9179833,28,0.9460452795028687
1560039942.5446055,29,0.9161810874938965
1560039944.1636627,30,0.8892708420753479
1560039945.7798507,31,0.8643351197242737
1560039947.4199753,32,0.8416669964790344
1560039949.0406027,33,0.8210123181343079
1560039950.6564465,34,0.8030747175216675
1560039952.2852693,35,0.7857621312141418
1560039953.8908784,36,0.7695806622505188
1560039955.5142813,37,0.7551994323730469
1560039957.1203008,38,0.7414534091949463
1560039958.7329972,39,0.7298585772514343
1560039960.354457,40,0.7179986834526062
1560039961.9637733,41,0.7074586153030396
1560039963.582593,42,0.6975125670433044
1560039965.2008724,43,0.6892951130867004
1560039966.8004823,44,0.6808499693870544
1560039968.404707,45,0.6727338433265686
1560039969.9977255,46,0.6654037237167358
1560039971.6144788,47,0.6582230925559998
1560039973.2159915,48,0.6519691348075867
1560039974.834029,49,0.6471278667449951
1560039976.4421563,50,0.6399090886116028
1560039978.0506737,51,0.6361391544342041
1560039979.6704862,52,0.6308340430259705
1560039981.299984,53,0.625725269317627
1560039982.920502,54,0.6230178475379944
1560039984.5334952,55,0.6177403330802917
1560039986.1551557,56,0.6148755550384521
1560039987.7608738,57,0.610365629196167
1560039989.3644414,58,0.6089611053466797
1560039990.9793391,59,0.6041662693023682
1560039992.2361288,60,0.6003764867782593
1560039993.8322685,61,0.5988004803657532
1560039995.4475546,62,0.5950672626495361
1560039997.0558026,63,0.5917020440101624
1560039998.659678,64,0.5897489190101624
1560040000.2899928,65,0.5879126787185669
1560040001.5484705,66,0.5873311758041382
1560040003.1614249,67,0.5838813781738281
1560040004.771033,68,0.5808905959129333
1560040006.3895793,69,0.5789111852645874
1560040007.9938192,70,0.5781387090682983
1560040009.2530797,71,0.5774271488189697
1560040010.875509,72,0.574494481086731
1560040012.5128586,73,0.5728664994239807
1560040014.1452713,74,0.5726772546768188
1560040015.404667,75,0.5706983208656311
1560040017.0217447,76,0.5686514377593994
1560040018.282187,77,0.5683155059814453
1560040019.9067385,78,0.5673412084579468
1560040021.1681242,79,0.5666335821151733
1560040022.787762,80,0.5649480223655701
1560040024.4061472,81,0.5630764961242676
1560040025.6679866,82,0.5625665783882141
1560040027.284149,83,0.5626259446144104
1560040028.900232,84,0.5609314441680908
1560040030.5278718,85,0.5596528053283691
1560040031.776673,86,0.5577765703201294
1560040033.381695,87,0.5574083924293518
1560040034.6484468,88,0.5569873452186584
1560040035.9106448,89,0.5565106868743896
1560040037.1698763,90,0.5540838837623596
1560040038.4275672,91,0.553839921951294
1560040040.0252726,92,0.5533792972564697
1560040041.6328394,93,0.5535269975662231
1560040042.8932571,94,0.5547726154327393
1560040044.5141726,95,0.5522764921188354
1560040046.1113942,96,0.5520797371864319
1560040047.3632753,97,0.5512015223503113
1560040048.631056,98,0.5517783761024475
1560040050.2422235,99,0.5494783520698547
1560040051.851714,100,0.5497424006462097
1560040053.4691467,101,0.5488302111625671
1560040054.7198784,102,0.549355685710907
1560040055.9808404,103,0.5488179922103882
1560040057.2369351,104,0.5484349727630615
1560040058.4935575,105,0.5475600957870483
1560040060.0998802,106,0.5479125380516052
1560040061.3604908,107,0.5478877425193787
1560040062.9758377,108,0.5462060570716858
1560040064.5701168,109,0.5462418794631958
1560040066.17409,110,0.5474362969398499
1560040067.7782695,111,0.5448830127716064
1560040069.0353854,112,0.545729398727417
1560040070.2893946,113,0.5442583560943604
1560040071.55119,114,0.5449328422546387
1560040072.8121357,115,0.5441763401031494
1560040074.06768,116,0.5437037944793701
1560040075.327464,117,0.5429182052612305
1560040076.5980043,118,0.5434226393699646
1560040077.8573663,119,0.5432694554328918
1560040079.1167107,120,0.5429471135139465
1560040080.6345696,121,0.5419180393218994
1560040081.894898,122,0.5420317649841309
1560040083.1611307,123,0.5414965152740479
1560040084.416829,124,0.5408436059951782
1560040086.3769302,125,0.5427418947219849
1560040087.9882097,126,0.541871964931488
1560040089.5987532,127,0.5411043167114258
1560040091.1995087,128,0.5411356687545776
1560040092.8219686,129,0.5417397022247314
1560040094.4456365,130,0.542275071144104
1560040096.073195,131,0.5412684082984924
1560040097.7174604,132,0.5410152673721313
1560040099.3361824,133,0.5408967733383179
1560040100.9628112,134,0.5411392450332642
1560040102.5773313,135,0.540510892868042
1560040104.1917129,136,0.5428778529167175
1560040105.8176692,137,0.5417705178260803
1560040107.4181285,138,0.5416338443756104
1560040109.030303,139,0.5425397753715515
1560040110.6406765,140,0.5407952666282654
1560040112.258449,141,0.5408881306648254
1560040113.87382,142,0.5404241681098938
1560040115.4893038,143,0.5416597723960876
1560040117.1033142,144,0.5415704846382141
1560040118.7096045,145,0.5410546064376831
1560040120.3240912,146,0.5400775671005249
1560040121.931785,147,0.5416054725646973
1560040123.5403311,148,0.5399534106254578
1560040125.1521404,149,0.5402010083198547
1560040126.7679157,150,0.5413194894790649
1560040128.3810358,151,0.5402535796165466
1560040129.9883215,152,0.5410581827163696
1560040131.6040013,153,0.539701521396637
1560040133.211309,154,0.5423840880393982
1560040134.8142734,155,0.5405282378196716
1560040136.432883,156,0.5406599044799805
1560040138.038368,157,0.5402095317840576
1560040139.644295,158,0.5414422154426575
1560040141.2672915,159,0.5398775339126587
1560040142.8766263,160,0.5401252508163452
1560040144.476113,161,0.5398958325386047
1560040146.0980408,162,0.5400776863098145
1560040147.7078495,163,0.5395987629890442
1560040149.316111,164,0.5398248434066772
1560040150.9403813,165,0.5398865938186646
1560040152.5422823,166,0.5401912927627563
1560040154.1585193,167,0.5396739840507507
1560040155.7792602,168,0.5399131774902344
1560040157.3846247,169,0.5401868224143982
1560040158.9979746,170,0.5400020480155945
1560040160.6076734,171,0.5407541990280151
1560040162.2300944,172,0.5400457382202148
1560040163.8343132,173,0.5391442179679871
1560040165.4497592,174,0.5417986512184143
1560040167.0494094,175,0.5393806099891663
1560040168.639926,176,0.5395312905311584
1560040170.2476187,177,0.5406294465065002
1560040171.5079224,178,0.5409947633743286
1560040173.1137342,179,0.5392202734947205
1560040174.7235155,180,0.5389798283576965
1560040176.3722074,181,0.5390661358833313
1560040177.6426835,182,0.5402735471725464
1560040178.9027119,183,0.5387724041938782
1560040180.1590803,184,0.5399351119995117
1560040181.4244835,185,0.5399895906448364
1560040183.022937,186,0.5390856266021729
1560040184.2879503,187,0.5399614572525024
1560040185.9011898,188,0.5397548079490662
1560040187.16753,189,0.5396631956100464
1560040188.7856414,190,0.539840579032898
1560040190.3819468,191,0.539434552192688
1560040191.634235,192,0.5405738949775696
1560040192.9066837,193,0.539779543876648
1560040194.516074,194,0.5400338768959045
1560040196.1278129,195,0.5404127836227417
1560040197.383439,196,0.5393545031547546
1560040198.9783258,197,0.5390890836715698
1560040200.5955265,198,0.5385102033615112
1560040201.8486104,199,0.5402804017066956
1560040203.4445758,200,0.5394747853279114
1560040204.6940498,201,0.538261353969574
1560040206.2868211,202,0.5390920639038086
1560040207.5393257,203,0.5383129119873047
1560040208.801071,204,0.5395339131355286
1560040210.058785,205,0.5389533042907715
1560040211.3180406,206,0.5409294366836548
1560040212.5819046,207,0.5387272238731384
1560040214.2302084,208,0.5384016036987305
