Wall time,Step,Value
1560509045.046768,0,0.08791568875312805
1560509047.9146297,1,0.06327526271343231
1560509050.70071,2,0.054948415607213974
1560509053.5745935,3,0.05103374645113945
1560509056.3836217,4,0.04722520709037781
1560509059.2614439,5,0.046516451984643936
1560509062.1124344,6,0.044295039027929306
1560509064.1357431,7,0.04305369406938553
1560509066.1674395,8,0.04173101484775543
1560509068.9709904,9,0.040678396821022034
1560509071.008137,10,0.03885968402028084
1560509073.0460875,11,0.03767935559153557
1560509075.9054167,12,0.03334460407495499
1560509078.8359947,13,0.028532063588500023
1560509081.686135,14,0.02593567781150341
1560509084.5376835,15,0.02423284202814102
1560509087.364741,16,0.02299191802740097
1560509089.4292526,17,0.02230902761220932
1560509091.4885905,18,0.022715507075190544
1560509093.5458245,19,0.022283922880887985
1560509096.4008574,20,0.02076731063425541
1560509099.2471292,21,0.020625805482268333
1560509101.3203278,22,0.01998857967555523
1560509103.3854494,23,0.019656985998153687
1560509105.4554493,24,0.019575560465455055
1560509107.5544908,25,0.018970251083374023
1560509109.632305,26,0.019488157704472542
1560509111.7155259,27,0.018932504579424858
1560509115.7692287,28,0.018401356413960457
1560509117.8879173,29,0.0184488408267498
1560509119.971409,30,0.018355805426836014
1560509122.051325,31,0.01861301250755787
1560509124.1162357,32,0.018796827644109726
1560509126.193965,33,0.01826368272304535
1560509128.27333,34,0.01822516694664955
1560509130.3380432,35,0.018034150823950768
1560509132.4035118,36,0.018548114225268364
1560509134.46045,37,0.018793892115354538
1560509136.8084946,38,0.018994314596056938
1560509138.8649893,39,0.01836143620312214
1560509140.9174643,40,0.018580900505185127
1560509144.7449195,41,0.017398662865161896
1560509147.5795062,42,0.017640620470046997
1560509149.6232543,43,0.017117420211434364
1560509151.669784,44,0.016953609883785248
1560509153.7112439,45,0.01675170473754406
1560509155.7715247,46,0.016973694786429405
1560509157.8245227,47,0.01721334271132946
1560509159.8731856,48,0.01650272309780121
1560509161.9170897,49,0.016975052654743195
1560509163.9662726,50,0.016506079584360123
1560509166.00874,51,0.0169919915497303
1560509168.0516798,52,0.016762128099799156
1560509170.0982003,53,0.016359494999051094
1560509172.147196,54,0.016795480623841286
1560509178.35336,55,0.01745426096022129
1560509181.2782094,56,0.0166048314422369
1560509184.1413786,57,0.016704829409718513
1560509186.976425,58,0.016521276906132698
1560509189.8999462,59,0.016664862632751465
1560509192.722383,60,0.017073042690753937
1560509195.6298096,61,0.01667122170329094
1560509198.4947171,62,0.016474762931466103
1560509201.4201207,63,0.01642759144306183
1560509204.3594167,64,0.016773702576756477
1560509207.2376695,65,0.016698520630598068
1560509210.1693869,66,0.01699199341237545
1560509213.0524611,67,0.016690878197550774
1560509216.0100837,68,0.01650054380297661
1560509218.9050505,69,0.01632266864180565
1560509221.8288293,70,0.016382453963160515
1560509224.6993642,71,0.01679163984954357
1560509226.7615364,72,0.016759026795625687
1560509229.6429582,73,0.01657007820904255
1560509232.4978707,74,0.01711913011968136
1560509235.3971667,75,0.01705973781645298
1560509238.37443,76,0.016445741057395935
1560509241.3296983,77,0.01702774502336979
1560509244.1950607,78,0.01647983305156231
1560509247.1120114,79,0.016393687576055527
1560509249.9672146,80,0.01648925058543682
1560509252.8490434,81,0.016392512246966362
1560509255.7384818,82,0.016422845423221588
1560509258.5996835,83,0.01642494462430477
1560509261.486208,84,0.01619388349354267
1560509264.3227785,85,0.016530852764844894
1560509267.2484255,86,0.016512537375092506
1560509269.3120723,87,0.016689293086528778
1560509271.3664994,88,0.01669032871723175
1560509274.2003124,89,0.017036259174346924
1560509277.0702846,90,0.016411561518907547
1560509279.9027355,91,0.01646096259355545
1560509282.8051226,92,0.016472671180963516
1560509284.861638,93,0.016834229230880737
1560509286.907324,94,0.016251038759946823
1560509288.962426,95,0.01628374122083187
1560509291.8113558,96,0.016612833365797997
1560509294.6525717,97,0.017178485170006752
1560509297.540002,98,0.016257792711257935
1560509300.3772564,99,0.016187533736228943
1560509303.309168,100,0.01646341197192669
1560509306.2470336,101,0.016375986859202385
1560509309.2255232,102,0.0162043496966362
1560509312.1536586,103,0.016900978982448578
1560509315.0733738,104,0.017017865553498268
1560509318.0380208,105,0.016937723383307457
1560509320.9372683,106,0.01655677892267704
1560509323.8583322,107,0.016338609158992767
1560509326.7112668,108,0.01636764034628868
1560509329.600025,109,0.016861386597156525
1560509332.472962,110,0.01668608747422695
1560509335.3708673,111,0.01661178097128868
1560509338.2236037,112,0.01652020961046219
1560509341.1049666,113,0.016658108681440353
1560509343.9415147,114,0.016344690695405006
1560509346.8039162,115,0.01617645099759102
1560509349.6338823,116,0.01645825430750847
1560509352.5118978,117,0.016549741849303246
1560509355.326967,118,0.016842864453792572
1560509358.2287216,119,0.01619236171245575
